[solar] 남은 캡처 7190 (k=5)
  [solar] 100/7190 (1.0s/콜, 남은 ~123분)
  [solar] 200/7190 (1.0s/콜, 남은 ~113분)
  [solar] 300/7190 (0.9s/콜, 남은 ~107분)
  [solar] 400/7190 (0.9s/콜, 남은 ~103분)
  [solar] 500/7190 (0.9s/콜, 남은 ~99분)
  [solar] 600/7190 (0.9s/콜, 남은 ~97분)
  [solar] 700/7190 (0.9s/콜, 남은 ~98분)
  [solar] 800/7190 (0.9s/콜, 남은 ~97분)
  [solar] 900/7190 (0.9s/콜, 남은 ~95분)
  [solar] 1000/7190 (0.9s/콜, 남은 ~92분)
  [solar] 1100/7190 (0.9s/콜, 남은 ~90분)
  [solar] 1200/7190 (0.9s/콜, 남은 ~90분)
  [solar] 1300/7190 (0.9s/콜, 남은 ~88분)
  [solar] 1400/7190 (0.9s/콜, 남은 ~87분)
  [solar] 1500/7190 (0.9s/콜, 남은 ~84분)
  [solar] 1600/7190 (0.9s/콜, 남은 ~82분)
  [solar] 1700/7190 (0.9s/콜, 남은 ~81분)
  [solar] 1800/7190 (0.9s/콜, 남은 ~79분)
  [solar] 1900/7190 (0.9s/콜, 남은 ~78분)
  [solar] 2000/7190 (0.9s/콜, 남은 ~76분)
  [solar] 2100/7190 (0.9s/콜, 남은 ~75분)
  [solar] 2200/7190 (0.9s/콜, 남은 ~73분)
  [solar] 2300/7190 (0.9s/콜, 남은 ~72분)
  [solar] 2400/7190 (0.9s/콜, 남은 ~70분)
  [solar] 2500/7190 (0.9s/콜, 남은 ~68분)
  [solar] 2600/7190 (0.9s/콜, 남은 ~66분)
  [solar] 2700/7190 (0.9s/콜, 남은 ~65분)
  [solar] 2800/7190 (0.9s/콜, 남은 ~63분)
  [solar] 2900/7190 (0.9s/콜, 남은 ~61분)
  [solar] 3000/7190 (0.8s/콜, 남은 ~59분)
  [solar] 3100/7190 (0.8s/콜, 남은 ~58분)
  [solar] 3200/7190 (0.8s/콜, 남은 ~56분)
  [solar] 3300/7190 (0.8s/콜, 남은 ~54분)
  [solar] 3400/7190 (0.8s/콜, 남은 ~53분)
  [solar] 3500/7190 (0.8s/콜, 남은 ~51분)
  [solar] 3600/7190 (0.8s/콜, 남은 ~50분)
  [solar] 3700/7190 (0.8s/콜, 남은 ~48분)
  [solar] 3800/7190 (0.8s/콜, 남은 ~47분)
  [solar] 3900/7190 (0.8s/콜, 남은 ~45분)
  [solar] 4000/7190 (0.8s/콜, 남은 ~44분)
  [solar] 4100/7190 (0.8s/콜, 남은 ~42분)
  [solar] 4200/7190 (0.8s/콜, 남은 ~41분)
  [solar] 4300/7190 (0.8s/콜, 남은 ~40분)
  [solar] 4400/7190 (0.8s/콜, 남은 ~38분)
  [solar] 4500/7190 (0.8s/콜, 남은 ~37분)
  [solar] 4600/7190 (0.8s/콜, 남은 ~35분)
  [solar] 4700/7190 (0.8s/콜, 남은 ~34분)
  [solar] 4800/7190 (0.8s/콜, 남은 ~33분)
  [solar] 4900/7190 (0.8s/콜, 남은 ~31분)
  [solar] 5000/7190 (0.8s/콜, 남은 ~30분)
  [solar] 5100/7190 (0.8s/콜, 남은 ~28분)
  [solar] 5200/7190 (0.8s/콜, 남은 ~27분)
  [solar] 5300/7190 (0.8s/콜, 남은 ~26분)
  [solar] 5400/7190 (0.8s/콜, 남은 ~24분)
  [solar] 5500/7190 (0.8s/콜, 남은 ~24분)
  [solar] 5600/7190 (0.8s/콜, 남은 ~22분)
  [solar] 5700/7190 (0.8s/콜, 남은 ~21분)
  [solar] 5800/7190 (0.8s/콜, 남은 ~19분)
  [solar] 5900/7190 (0.8s/콜, 남은 ~18분)
  [solar] 6000/7190 (0.8s/콜, 남은 ~17분)
  [solar] 6100/7190 (0.8s/콜, 남은 ~15분)
  [solar] 6200/7190 (0.8s/콜, 남은 ~14분)
  [solar] 6300/7190 (0.8s/콜, 남은 ~12분)
  [solar] 6400/7190 (0.8s/콜, 남은 ~11분)
  [solar] 6500/7190 (0.8s/콜, 남은 ~10분)
  [solar] 6600/7190 (0.8s/콜, 남은 ~8분)
  [solar] 6700/7190 (0.8s/콜, 남은 ~7분)
  [solar] 6800/7190 (0.9s/콜, 남은 ~6분)
  [solar] 6900/7190 (0.9s/콜, 남은 ~4분)
  [solar] 7000/7190 (0.9s/콜, 남은 ~3분)
  [solar] 7100/7190 (0.9s/콜, 남은 ~1분)
[solar] 완료 (109.5분)
[요약] solar t0 단독 73.5% (n=1438)
[요약] ax t0 단독 58.3% (n=1438)
[요약] exaone t0 단독 64.3% (n=1438)
