[baseline] 남은 캡처 7190 (k=5)
  [baseline] 100/7190 (1.6s/콜, 남은 ~192분)
  [baseline] 200/7190 (1.6s/콜, 남은 ~190분)
  [baseline] 300/7190 (1.7s/콜, 남은 ~192분)
  [baseline] 400/7190 (1.9s/콜, 남은 ~211분)
  [baseline] 500/7190 (1.9s/콜, 남은 ~208분)
  [baseline] 600/7190 (1.8s/콜, 남은 ~199분)
  [baseline] 700/7190 (1.8s/콜, 남은 ~190분)
  [baseline] 800/7190 (1.7s/콜, 남은 ~182분)
  [baseline] 900/7190 (1.7s/콜, 남은 ~175분)
  [baseline] 1000/7190 (1.6s/콜, 남은 ~170분)
  [baseline] 1100/7190 (1.7s/콜, 남은 ~172분)
  [baseline] 1200/7190 (1.7s/콜, 남은 ~168분)
  [baseline] 1300/7190 (1.7s/콜, 남은 ~163분)
  [baseline] 1400/7190 (1.6s/콜, 남은 ~158분)
  [baseline] 1500/7190 (1.6s/콜, 남은 ~154분)
  [baseline] 1600/7190 (1.6s/콜, 남은 ~150분)
  [baseline] 1700/7190 (1.6s/콜, 남은 ~147분)
  [baseline] 1800/7190 (1.6s/콜, 남은 ~147분)
  [baseline] 1900/7190 (1.6s/콜, 남은 ~143분)
  [baseline] 2000/7190 (1.6s/콜, 남은 ~140분)
  [baseline] 2100/7190 (1.6s/콜, 남은 ~136분)
  [baseline] 2200/7190 (1.6s/콜, 남은 ~134분)
  [baseline] 2300/7190 (1.6s/콜, 남은 ~133분)
  [baseline] 2400/7190 (1.6s/콜, 남은 ~131분)
  [baseline] 2500/7190 (1.6s/콜, 남은 ~128분)
  [baseline] 2600/7190 (1.6s/콜, 남은 ~124분)
  [baseline] 2700/7190 (1.6s/콜, 남은 ~121분)
  [baseline] 2800/7190 (1.6s/콜, 남은 ~118분)
  [baseline] 2900/7190 (1.6s/콜, 남은 ~115분)
  [baseline] 3000/7190 (1.6s/콜, 남은 ~112분)
  [baseline] 3100/7190 (1.6s/콜, 남은 ~109분)
  [baseline] 3200/7190 (1.6s/콜, 남은 ~106분)
  [baseline] 3300/7190 (1.6s/콜, 남은 ~102분)
  [baseline] 3400/7190 (1.6s/콜, 남은 ~100분)
  [baseline] 3500/7190 (1.6s/콜, 남은 ~96분)
  [baseline] 3600/7190 (1.6s/콜, 남은 ~93분)
  [baseline] 3700/7190 (1.6s/콜, 남은 ~90분)
  [baseline] 3800/7190 (1.5s/콜, 남은 ~87분)
  [baseline] 3900/7190 (1.6s/콜, 남은 ~85분)
  [baseline] 4000/7190 (1.6s/콜, 남은 ~83분)
  [baseline] 4100/7190 (1.6s/콜, 남은 ~80분)
  [baseline] 4200/7190 (1.6s/콜, 남은 ~77분)
  [baseline] 4300/7190 (1.5s/콜, 남은 ~75분)
  [baseline] 4400/7190 (1.5s/콜, 남은 ~72분)
  [baseline] 4500/7190 (1.5s/콜, 남은 ~69분)
  [baseline] 4600/7190 (1.5s/콜, 남은 ~66분)
  [baseline] 4700/7190 (1.5s/콜, 남은 ~64분)
  [baseline] 4800/7190 (1.5s/콜, 남은 ~61분)
  [baseline] 4900/7190 (1.5s/콜, 남은 ~59분)
  [baseline] 5000/7190 (1.5s/콜, 남은 ~57분)
  [baseline] 5100/7190 (1.5s/콜, 남은 ~54분)
  [baseline] 5200/7190 (1.5s/콜, 남은 ~51분)
  [baseline] 5300/7190 (1.5s/콜, 남은 ~49분)
  [baseline] 5400/7190 (1.6s/콜, 남은 ~46분)
  [baseline] 5500/7190 (1.6s/콜, 남은 ~44분)
  [baseline] 5600/7190 (1.5s/콜, 남은 ~41분)
  [baseline] 5700/7190 (1.5s/콜, 남은 ~38분)
  [baseline] 5800/7190 (1.6s/콜, 남은 ~36분)
  [baseline] 5900/7190 (1.6s/콜, 남은 ~33분)
  [baseline] 6000/7190 (1.6s/콜, 남은 ~31분)
  [baseline] 6100/7190 (1.6s/콜, 남은 ~29분)
  [baseline] 6200/7190 (1.6s/콜, 남은 ~26분)
  [baseline] 6300/7190 (1.6s/콜, 남은 ~24분)
  [baseline] 6400/7190 (1.6s/콜, 남은 ~21분)
  [baseline] 6500/7190 (1.6s/콜, 남은 ~18분)
  [baseline] 6600/7190 (1.6s/콜, 남은 ~16분)
  [baseline] 6700/7190 (1.6s/콜, 남은 ~13분)
  [baseline] 6800/7190 (1.6s/콜, 남은 ~10분)
  [baseline] 6900/7190 (1.6s/콜, 남은 ~8분)
  [baseline] 7000/7190 (1.6s/콜, 남은 ~5분)
  [baseline] 7100/7190 (1.6s/콜, 남은 ~2분)
[baseline] 완료 (194.7분)
