[solar] 남은 캡처 5315 (k=5)
  [solar] 100/5315 (0.7s/콜, 남은 ~58분)
  [solar] 200/5315 (3.1s/콜, 남은 ~266분)
  [solar] 300/5315 (2.3s/콜, 남은 ~195분)
  [solar] 400/5315 (1.9s/콜, 남은 ~158분)
  [solar] 500/5315 (1.7s/콜, 남은 ~136분)
  [solar] 600/5315 (1.5s/콜, 남은 ~121분)
  [solar] 700/5315 (1.4s/콜, 남은 ~109분)
  [solar] 800/5315 (1.3s/콜, 남은 ~100분)
  [solar] 900/5315 (1.3s/콜, 남은 ~93분)
  [solar] 1000/5315 (1.2s/콜, 남은 ~87분)
  [solar] 1100/5315 (1.2s/콜, 남은 ~82분)
  [solar] 1200/5315 (1.1s/콜, 남은 ~78분)
  [solar] 1300/5315 (1.1s/콜, 남은 ~75분)
  [solar] 1400/5315 (1.1s/콜, 남은 ~72분)
  [solar] 1500/5315 (1.1s/콜, 남은 ~69분)
  [solar] 1600/5315 (1.1s/콜, 남은 ~69분)
  [solar] 1700/5315 (1.1s/콜, 남은 ~66분)
  [solar] 1800/5315 (1.1s/콜, 남은 ~64분)
  [solar] 1900/5315 (1.1s/콜, 남은 ~61분)
  [solar] 2000/5315 (1.1s/콜, 남은 ~59분)
  [solar] 2100/5315 (1.0s/콜, 남은 ~56분)
  [solar] 2200/5315 (1.1s/콜, 남은 ~55분)
  [solar] 2300/5315 (1.1s/콜, 남은 ~53분)
  [solar] 2400/5315 (1.0s/콜, 남은 ~51분)
  [solar] 2500/5315 (1.0s/콜, 남은 ~48분)
  [solar] 2600/5315 (1.0s/콜, 남은 ~46분)
  [solar] 2700/5315 (1.0s/콜, 남은 ~44분)
  [solar] 2800/5315 (1.0s/콜, 남은 ~42분)
  [solar] 2900/5315 (1.0s/콜, 남은 ~40분)
  [solar] 3000/5315 (1.0s/콜, 남은 ~39분)
  [solar] 3100/5315 (1.0s/콜, 남은 ~38분)
  [solar] 3200/5315 (1.0s/콜, 남은 ~37분)
  [solar] 3300/5315 (1.0s/콜, 남은 ~35분)
  [solar] 3400/5315 (1.0s/콜, 남은 ~33분)
  [solar] 3500/5315 (1.0s/콜, 남은 ~31분)
  [solar] 3600/5315 (1.0s/콜, 남은 ~29분)
  [solar] 3700/5315 (1.0s/콜, 남은 ~27분)
  [solar] 3800/5315 (1.0s/콜, 남은 ~26분)
  [solar] 3900/5315 (1.0s/콜, 남은 ~24분)
  [solar] 4000/5315 (1.0s/콜, 남은 ~22분)
  [solar] 4100/5315 (1.0s/콜, 남은 ~20분)
  [solar] 4200/5315 (1.0s/콜, 남은 ~19분)
  [solar] 4300/5315 (1.0s/콜, 남은 ~17분)
  [solar] 4400/5315 (1.0s/콜, 남은 ~15분)
  [solar] 4500/5315 (1.0s/콜, 남은 ~13분)
  [solar] 4600/5315 (1.0s/콜, 남은 ~12분)
  [solar] 4700/5315 (1.0s/콜, 남은 ~10분)
  [solar] 4800/5315 (1.0s/콜, 남은 ~8분)
  [solar] 4900/5315 (1.0s/콜, 남은 ~7분)
  [solar] 5000/5315 (1.0s/콜, 남은 ~5분)
  [solar] 5100/5315 (1.0s/콜, 남은 ~3분)
  [solar] 5200/5315 (1.0s/콜, 남은 ~2분)
  [solar] 5300/5315 (1.0s/콜, 남은 ~0분)
[solar] 완료 (85.0분)
[요약] solar t0 단독 63.0% (n=1063)
[요약] ax t0 단독 48.7% (n=1063)
[요약] exaone t0 단독 57.9% (n=1063)
